p,largest_components
0.025225225225225224,0.8904
0.025375375375375375,0.8926
0.025525525525525523,0.8951999999999998
0.025675675675675674,0.8972
0.025825825825825825,0.8991
0.025975975975975975,0.9005
0.026126126126126126,0.9024000000000001
0.026276276276276274,0.9034
0.026426426426426425,0.9048
0.026576576576576576,0.9069000000000003
0.026726726726726727,0.9082000000000001
0.026876876876876874,0.9112
0.027027027027027025,0.9133
0.027177177177177176,0.9153
0.027327327327327327,0.9166999999999998
0.027477477477477478,0.9175
0.027627627627627625,0.9190000000000002
0.027777777777777776,0.9201
0.027927927927927927,0.9216
0.028078078078078078,0.9229999999999999
0.028228228228228226,0.924
0.028378378378378376,0.925
0.028528528528528527,0.9257000000000001
0.02867867867867868,0.9267000000000002
0.028828828828828826,0.9286999999999999
0.028978978978978977,0.9297
